phase	rep	threads	alloc	system	dbsize	val	ratio	ops	crash
A	1	8	jem	3s_uring	dram	64	1:9	0	0
A	1	8	jem	3s_uring	dram	64	1:1	0	0
A	1	8	jem	3s_uring	dram	64	1:0	0	0
A	1	8	jem	3s_uring	dram	256	1:9	0	0
A	1	8	jem	3s_uring	dram	256	1:1	0	0
A	1	8	jem	3s_uring	dram	256	1:0	0	0
A	1	8	jem	3s_uring	dram	1024	1:9	0	0
A	1	8	jem	3s_uring	dram	1024	1:1	0	0
A	1	8	jem	3s_uring	dram	1024	1:0	0	0
A	1	8	jem	3s_uring	dram	4096	1:9	0	0
A	1	8	jem	3s_uring	dram	4096	1:1	0	0
A	1	8	jem	3s_uring	dram	4096	1:0	0	0
A	1	8	jem	3s_uring	dram	16384	1:9	0	0
A	1	8	jem	3s_uring	dram	16384	1:1	0	0
A	1	8	jem	3s_uring	dram	16384	1:0	0	0
A	1	8	jem	3s_pool	cache	16	1:9	3990415	0
A	1	8	jem	3s_pool	cache	16	1:1	3719542	0
A	1	8	jem	3s_pool	cache	16	1:0	3474200	0
A	1	8	jem	3s_pool	cache	64	1:9	3687430	0
A	1	8	jem	3s_pool	cache	64	1:1	3476271	0
A	1	8	jem	3s_pool	cache	64	1:0	3589334	0
A	1	8	jem	3s_pool	cache	256	1:9	3551034	0
A	1	8	jem	3s_pool	cache	256	1:1	3411737	0
A	1	8	jem	3s_pool	cache	256	1:0	3456127	0
A	1	8	jem	3s_pool	cache	1024	1:9	1806218	0
A	1	8	jem	3s_pool	cache	1024	1:1	2108277	0
A	1	8	jem	3s_pool	cache	1024	1:0	2404677	0
A	1	8	jem	3s_pool	cache	4096	1:9	0	0
A	1	8	jem	3s_pool	cache	4096	1:1	0	0
A	1	8	jem	3s_pool	cache	4096	1:0	0	0
A	1	8	jem	3s_pool	cache	16384	1:9	0	0
A	1	8	jem	3s_pool	cache	16384	1:1	0	0
A	1	8	jem	3s_pool	cache	16384	1:0	0	0
A	1	8	jem	3s_pool	dram	16	1:9	0	0
A	1	8	jem	3s_pool	dram	16	1:1	0	0
A	1	8	jem	3s_pool	dram	16	1:0	0	0
A	1	8	jem	3s_pool	dram	64	1:9	0	0
A	1	8	jem	3s_pool	dram	64	1:1	0	0
A	1	8	jem	3s_pool	dram	64	1:0	0	0
A	1	8	jem	3s_pool	dram	256	1:9	0	0
A	1	8	jem	3s_pool	dram	256	1:1	0	0
A	1	8	jem	3s_pool	dram	256	1:0	0	0
A	1	8	jem	3s_pool	dram	1024	1:9	0	0
A	1	8	jem	3s_pool	dram	1024	1:1	0	0
A	1	8	jem	3s_pool	dram	1024	1:0	0	0
A	1	8	jem	3s_pool	dram	4096	1:9	0	0
A	1	8	jem	3s_pool	dram	4096	1:1	0	0
A	1	8	jem	3s_pool	dram	4096	1:0	0	0
A	1	8	jem	3s_pool	dram	16384	1:9	0	0
A	1	8	jem	3s_pool	dram	16384	1:1	0	0
A	1	8	jem	3s_pool	dram	16384	1:0	0	0
A	2	6	jem	2s_epoll	cache	16	1:9	4693348	0
A	2	6	jem	2s_epoll	cache	16	1:1	3888313	0
A	2	6	jem	2s_epoll	cache	16	1:0	3980031	0
A	2	6	jem	2s_epoll	cache	64	1:9	3960574	0
A	2	6	jem	2s_epoll	cache	64	1:1	3635917	0
A	2	6	jem	2s_epoll	cache	64	1:0	3876110	0
A	2	6	jem	2s_epoll	cache	256	1:9	3973952	0
A	2	6	jem	2s_epoll	cache	256	1:1	3401773	0
A	2	6	jem	2s_epoll	cache	256	1:0	3405102	0
A	2	6	jem	2s_epoll	cache	1024	1:9	2008408	0
A	2	6	jem	2s_epoll	cache	1024	1:1	2257815	0
A	2	6	jem	2s_epoll	cache	1024	1:0	2562481	0
A	2	6	jem	2s_epoll	cache	4096	1:9	618977	0
A	2	6	jem	2s_epoll	cache	4096	1:1	913905	0
A	2	6	jem	2s_epoll	cache	4096	1:0	1211659	0
A	2	6	jem	2s_epoll	cache	16384	1:9	313718	0
A	2	6	jem	2s_epoll	cache	16384	1:1	350464	0
A	2	6	jem	2s_epoll	cache	16384	1:0	399294	0
A	2	6	jem	2s_epoll	dram	16	1:9	4009588	0
A	2	6	jem	2s_epoll	dram	16	1:1	3837962	0
A	2	6	jem	2s_epoll	dram	16	1:0	3954632	0
A	2	6	jem	2s_epoll	dram	64	1:9	3881922	0
A	2	6	jem	2s_epoll	dram	64	1:1	3425070	0
A	2	6	jem	2s_epoll	dram	64	1:0	3414218	0
A	2	6	jem	2s_epoll	dram	256	1:9	3739734	0
A	2	6	jem	2s_epoll	dram	256	1:1	3274564	0
A	2	6	jem	2s_epoll	dram	256	1:0	3221193	0
A	2	6	jem	2s_epoll	dram	1024	1:9	2054946	0
A	2	6	jem	2s_epoll	dram	1024	1:1	2123811	0
A	2	6	jem	2s_epoll	dram	1024	1:0	2466871	0
A	2	6	jem	2s_epoll	dram	4096	1:9	566587	0
A	2	6	jem	2s_epoll	dram	4096	1:1	908634	0
A	2	6	jem	2s_epoll	dram	4096	1:0	1225663	0
A	2	6	jem	2s_epoll	dram	16384	1:9	312419	0
A	2	6	jem	2s_epoll	dram	16384	1:1	346391	0
A	2	6	jem	2s_epoll	dram	16384	1:0	400495	0
A	2	6	jem	2s_uring	cache	16	1:9	4633964	0
A	2	6	jem	2s_uring	cache	16	1:1	3855959	0
A	2	6	jem	2s_uring	cache	16	1:0	3831609	0
A	2	6	jem	2s_uring	cache	64	1:9	4279101	0
A	2	6	jem	2s_uring	cache	64	1:1	3583773	0
A	2	6	jem	2s_uring	cache	64	1:0	3714148	0
A	2	6	jem	2s_uring	cache	256	1:9	3709083	0
A	2	6	jem	2s_uring	cache	256	1:1	3412514	0
A	2	6	jem	2s_uring	cache	256	1:0	3495315	0
A	2	6	jem	2s_uring	cache	1024	1:9	2033156	0
A	2	6	jem	2s_uring	cache	1024	1:1	2464781	0
A	2	6	jem	2s_uring	cache	1024	1:0	2465466	0
A	2	6	jem	2s_uring	cache	4096	1:9	595485	0
A	2	6	jem	2s_uring	cache	4096	1:1	927450	0
A	2	6	jem	2s_uring	cache	4096	1:0	1388500	0
A	2	6	jem	2s_uring	cache	16384	1:9	308292	0
A	2	6	jem	2s_uring	cache	16384	1:1	345812	0
A	2	6	jem	2s_uring	cache	16384	1:0	357880	0
A	2	6	jem	2s_uring	dram	16	1:9	4122069	0
A	2	6	jem	2s_uring	dram	16	1:1	3828314	0
A	2	6	jem	2s_uring	dram	16	1:0	3870779	0
A	2	6	jem	2s_uring	dram	64	1:9	4019984	0
A	2	6	jem	2s_uring	dram	64	1:1	3445753	0
A	2	6	jem	2s_uring	dram	64	1:0	3411646	0
A	2	6	jem	2s_uring	dram	256	1:9	3757284	0
A	2	6	jem	2s_uring	dram	256	1:1	3276482	0
A	2	6	jem	2s_uring	dram	256	1:0	3181841	0
A	2	6	jem	2s_uring	dram	1024	1:9	2014636	0
A	2	6	jem	2s_uring	dram	1024	1:1	2290819	0
A	2	6	jem	2s_uring	dram	1024	1:0	2352266	0
A	2	6	jem	2s_uring	dram	4096	1:9	580874	0
A	2	6	jem	2s_uring	dram	4096	1:1	906285	0
A	2	6	jem	2s_uring	dram	4096	1:0	1286124	0
A	2	6	jem	2s_uring	dram	16384	1:9	308117	0
A	2	6	jem	2s_uring	dram	16384	1:1	343460	0
A	2	6	jem	2s_uring	dram	16384	1:0	399148	0
A	2	6	jem	3s_epoll	cache	16	1:9	4707454	0
A	2	6	jem	3s_epoll	cache	16	1:1	3691272	0
A	2	6	jem	3s_epoll	cache	16	1:0	4083495	0
A	2	6	jem	3s_epoll	cache	64	1:9	4052834	0
A	2	6	jem	3s_epoll	cache	64	1:1	3718133	0
A	2	6	jem	3s_epoll	cache	64	1:0	3833666	0
A	2	6	jem	3s_epoll	cache	256	1:9	3787656	0
A	2	6	jem	3s_epoll	cache	256	1:1	3615423	0
A	2	6	jem	3s_epoll	cache	256	1:0	3449449	0
A	2	6	jem	3s_epoll	cache	1024	1:9	1914756	0
A	2	6	jem	3s_epoll	cache	1024	1:1	2256131	0
A	2	6	jem	3s_epoll	cache	1024	1:0	2594056	0
A	2	6	jem	3s_epoll	cache	4096	1:9	0	0
A	2	6	jem	3s_epoll	cache	4096	1:1	0	0
A	2	6	jem	3s_epoll	cache	4096	1:0	0	0
A	2	6	jem	3s_epoll	cache	16384	1:9	0	0
A	2	6	jem	3s_epoll	cache	16384	1:1	0	0
A	2	6	jem	3s_epoll	cache	16384	1:0	0	0
A	2	6	jem	3s_epoll	dram	16	1:9	0	0
A	2	6	jem	3s_epoll	dram	16	1:1	0	0
A	2	6	jem	3s_epoll	dram	16	1:0	0	0
A	2	6	jem	3s_epoll	dram	64	1:9	0	0
A	2	6	jem	3s_epoll	dram	64	1:1	0	0
A	2	6	jem	3s_epoll	dram	64	1:0	0	0
A	2	6	jem	3s_epoll	dram	256	1:9	0	0
A	2	6	jem	3s_epoll	dram	256	1:1	0	0
A	2	6	jem	3s_epoll	dram	256	1:0	0	0
